category,site_name,domain,primary_niche,sub_niche,winner_type,country_audience,start_year,traffic_est,traffic_evidence,traffic_source_url,revenue_reported,revenue_evidence,revenue_source_url,monetization_models,display_ads,affiliate,own_product,digital_product,course_community,newsletter_email_capture,saas_tool_lead,sponsored_content,content_scale,evergreen_or_news,dominant_search_intent,problem_solving_content,comparison_buying_content,tutorial_howto,first_hand_experience_evidence,downloadable_template_tool,free_tool_calculator,commercial_intent_level,visitor_to_revenue_distance,time_to_monetization,evidence_confidence,likely_primary_revenue_driver,likely_secondary_revenue_driver,cleansheethq_transferability_summary
Personal Finance,The Points Guy,thepointsguy.com,Travel rewards/points (finance-adjacent),"Credit card points, travel hacking",TRAFFIC WINNER,US,2010,~2.2-2.3M visits/mo (2026),B (Similarweb),similarweb.com/website/thepointsguy.com,UNKNOWN (acquisition price undisclosed),UNKNOWN,—,"Affiliate (credit card referral links), display, sponsored",Y,Y (core model),N,N,N,Y,N,Y,Large (news-style daily content),Mixed (deals/news heavy),Commercial/transactional (card offers),Y,Y (card comparisons),Y,Y (personal travel),N,Y (points valuation tools),High,LOW (direct card referral),Multi-year; acquired by Red Ventures 2017 (7 yrs post-launch),Low-Medium (traffic from third-party estimator; revenue/acquisition price undisclosed),Affiliate credit-card referral commissions,Sponsored content/display,Medium: authority + personality-driven expert content works for a narrow tool niche
Personal Finance,Mr. Money Mustache,mrmoneymustache.com,FIRE / frugality,"Early retirement, DIY, investing",NICHE AUTHORITY,US/Global (English),2005,~1.5M pageviews/mo (peak 175K/day),"B (Pantheon case study, hosting vendor)",pantheon.io/resources/case-studies/mr-money-mustache,UNKNOWN (no public figures),UNKNOWN,—,"Display ads, affiliate (declared ""Affiliates"" page), donations to charity",Y,Y,N,N,Y (large active forum),Y,N,UNKNOWN,"Small-medium (long-form, low frequency)",Evergreen,Informational,Y,N (mostly philosophy),Y,"Y (personal spending, ""MMM Spending 2015"")",N,N,Low,HIGH (mostly goodwill/community),"~$4,000/mo offer to remove ads reported by 2012 (7 yrs post-launch), per own post",Medium (traffic from hosting vendor case study; no revenue data),"Display ads + affiliate (modest, by design)",Forum-driven affiliate clicks,Medium: small opinionated community-building blog sustains on modest ad+affiliate revenue
Personal Finance,Root of Good,rootofgood.com,FIRE / early retirement,Early retirement case study/net worth,NICHE AUTHORITY,US,~2013 (blog started at retirement),UNKNOWN,UNKNOWN,—,UNKNOWN,UNKNOWN,—,"Affiliate (Empower, Rakuten), consulting services, small display",Y (minor),Y,N,N,N,Y,N,UNKNOWN,Small (mostly monthly updates),Evergreen (personal narrative),Informational,Y,N,N (mostly narrative),Y (personal net worth updates),N,N,Low-Medium,HIGH,"Never fully ""monetized"" — retirement-funding was never the blog's business model",Low (no hard traffic/revenue numbers found; qualitative only),"Affiliate links (Empower, Rakuten)",Consulting services,Low-medium: lesson in not over-monetizing rather than a revenue model to copy
Personal Finance,Millennial Money,millennialmoney.com,Personal finance / FIRE,"Money mindset, FIRE, career",FAST-GROWTH WINNER,US/Global,2015,~500K pageviews/mo by end-2017; 1.5M+ visitors/yr,A (self-reported income report),millennialmoney.com/2017-blog-income-report,"$401,681 (2017 blog income report)",A (self-published 2017 income report),millennialmoney.com/2017-blog-income-report,"Affiliate + display (127K), sponsorships/brand (18K), consulting/SEO (93K), books/courses/speaking (164K)","Y (part of ""affiliate & display"" bucket)",Y,"Y (book, coaching)",Y (courses),Y (coaching),"Y (32K+ subs, 400-500/wk growth)",N,"Y (direct advertisers, $17.8K)",Medium (2M+ words per founder),Evergreen,Informational + commercial,Y,Y,Y,Y,UNKNOWN,N,Medium,MEDIUM,"~$400K in blog income by year 2-3 (2017 report, started 2015)",High (self-published detailed income report),"Affiliate + display, then consulting/speaking",Books/coaching/speaking,"High: transparent ""how I built X in Y months"" build-logs are a strong growth format"
Personal Finance,The Penny Hoarder,thepennyhoarder.com,Personal finance / side hustles,"Side hustles, deals, freebies",FAST-GROWTH WINNER,US,2010,~17M unique visitors in best month (2016),"A (founder interview, Mixergy)",mixergy.com/interviews/the-penny-hoarder-with-kyle-taylor,$7.5M (2015) -> ~$20M (2016 projected),"A (founder interview, Mixergy)",mixergy.com/interviews/the-penny-hoarder-with-kyle-taylor,"Performance/affiliate (95%), display (<5%), sponsored content","Y (declining, <5%)","Y (core, 95%)",N,N,N,Y (1.7M subs),N,Y (flat-rate + commission),Very large (high-volume publishing),Mixed (deals are semi-perishable),"Transactional (deals, side hustles)",Y,Y,Y,"Y (writers test services, per Mixergy)",UNKNOWN,N,High,LOW (direct offer clicks),$100 first AdSense check ~2011 (within ~1 yr); $20K by 2012; six figures by 2013; $20M by 2016,"Medium-High (founder interview with specific numbers, but dated 2016)",Performance/affiliate marketing (95%),Display ads (declining),"Medium: high-volume listicle model needs large scale team, less suited to solo blog"
Personal Finance,Wallet Hacks,wallethacks.com,Personal finance / deals,"Coupons, banking bonuses, tools",NICHE AUTHORITY,US,2015,"~29K visits/mo (86.1K/3mo, Aug 2026)",B,similarweb.com/website/wallethacks.com,UNKNOWN,UNKNOWN,—,"Affiliate (banking bonuses, deals), display ads (inferred)",Y (inferred),Y,UNKNOWN,UNKNOWN,N,Y,N,UNKNOWN,Medium,Evergreen (deals need updating),"Commercial (deals, bank bonuses)",Y,Y (deal comparisons),Y,UNKNOWN,UNKNOWN,N,High,LOW-MEDIUM,UNKNOWN (not publicly disclosed),Low (mostly third-party traffic estimate; no revenue data),Affiliate (deals/banking bonuses),Display ads,High: closest solo-operator comp — deal/tool roundups + affiliate + email list
Personal Finance,The Financial Diet,thefinancialdiet.com,Personal finance / lifestyle media,"Budgeting, money psychology, video content",NICHE AUTHORITY (media),US (90% women),2013,~1.3M pageviews/mo (2019 media kit),A (self-published media kit),thefinancialdiet.com Media Kit Q4 2020 PDF,"UNKNOWN (net worth of founder ~$2M+ per InfluencerFee, unverified)","D (third-party influencer valuation site, low confidence)",influencerfee.com/influencer/financial-diet,"Sponsored video/content (category exclusivity deals), YouTube ads, newsletter",N/UNKNOWN,N/UNKNOWN,Y (books),Y (courses/guides),N,"Y (30K subs, 2019)",N,Y (core model — video sponsorships),Medium (blog + high-volume video),Evergreen + timely video,Informational/entertainment,Y,Y (product/brand reviews),Y (video tutorials),Y (personal finance stories),UNKNOWN,N,Low-Medium,"HIGH (brand/sponsorship, not direct clicks)",UNKNOWN,Low-Medium (2019/2020 media kit; no recent revenue figures),Sponsored video content (category exclusivity deals),YouTube ad revenue,Low-medium: video-first strategy requires production investment not typical of a tool site
Other Strong Niche,Nerd Fitness,nerdfitness.com,Fitness,"""Nerd""-targeted strength/beginner fitness",FAST-GROWTH/REVENUE WINNER,US/global English,"2007 (A, Forbes)",UNKNOWN (no public number found),UNKNOWN,—,"""Seven-figure"" cumulative since 2007; team of 9",A,forbes.com/sites/elainepofeldt/.../he-built-a-seven-figure-business...,"Online courses (Nerd Fitness Academy), coaching, annual retreat (Camp NF), book sales",UNKNOWN,Y,"Y (courses, book)",Y,Y (Academy + retreat + forums),Y (D),N,Y (D),"Large (1000s of posts, multi-author)",Evergreen,Informational->transactional (courses),Y,Y (D),Y,Y (Steve Kamb's own transformation story),Y (workout templates),N/UNKNOWN,Medium-high,MEDIUM (needs course upsell),"UNKNOWN exact, operator narrative implies ~1-2 yrs to first real income (D)",MEDIUM (revenue A-sourced but dated; traffic UNKNOWN),Course/Academy sales,Affiliate + book royalties,HIGH: distinctive persona angle can differentiate; funnel tutorials to paid template/tool
Other Strong Niche,The Spruce Pets,thesprucepets.com,Pet care,General pet care/lifestyle,TRAFFIC WINNER,US,"~2016 rebrand of ""PetHelpful"" era; parent Spruce est. 2016 (D)",~833K/mo est.,B,similarweb.com/website/thesprucepets.com,"UNKNOWN (part of Dotdash Meredith/People Inc., not broken out)",UNKNOWN,—,"Display ads, affiliate (Amazon/retail)",Y,Y,N,N,N,Y (D),N,Y (D),"Very large (Dotdash-scale, 1000s)",Evergreen,Informational,Y,Y,Y,Y (D),N,N,Medium,"LOW (ad-driven, immediate)",UNKNOWN,MEDIUM (traffic B-sourced estimate tool; revenue unknown),Display advertising (programmatic),Affiliate commerce,LOW: relies on media-conglomerate scale CleanSheetHQ can't replicate
Other Strong Niche,PetMD,petmd.com,Pet health,Vet-reviewed pet health,TRAFFIC WINNER,US/global,Founded ~2007 (D),"~4.9M/mo (3-mo avg, declining)",B,similarweb.com/website/petmd.com,"UNKNOWN (owned by Chewy, not broken out)",UNKNOWN,—,"Display ads, affiliate, brand tie-in to Chewy",Y,Y,N,N,N,Y (D),N,Y (D),"Very large (vet-reviewed library, 1000s)",Evergreen,Informational/problem-solving,Y,Y (D),Y,Y (vet authorship),N,"N (some breed/food tools, D)",Medium,"LOW (ad-driven, immediate)",UNKNOWN,MEDIUM (traffic B-sourced; revenue unknown),Display advertising + Chewy commerce,Affiliate,LOW: relies on parent-company commerce integration
Other Strong Niche,Digital Photography School (dPS),digital-photography-school.com,Photography,Photo tutorials/gear,NICHE AUTHORITY/REVENUE WINNER,Global English,Founded ~2005 (D),"5,000,000 monthly visitors, 500,000 subscribers",A (Copyblogger case study quoting operator),copyblogger.com/dps/,"""Multimillion dollar web venture"" (A/B, Copyblogger, Rowse-sourced)",A,copyblogger.com/dps/,"Ebooks/courses, affiliate, historically display ads",Y (historically),Y,Y (ebooks/courses),Y,Y (forum + courses),Y,N,Y (D),"Large (1000s, since ~2005)",Evergreen,Informational/tutorial,Y,Y (gear reviews),Y (core format),Y (Rowse's own photos/journey),Y (cheat sheets),N,Medium-high,MEDIUM (needs upsell to course),"UNKNOWN (Rowse narrative: multi-year buildup before ""multimillion"" status)",MEDIUM-HIGH (traffic and revenue both A/B-sourced from operator-linked case study),Course/ebook sales,Affiliate,HIGH: teach-first content then sell templates/courses as productized expertise
Other Strong Niche,PetaPixel,petapixel.com,Photography,Photo news/gear reviews,TRAFFIC WINNER,Global English,"Founded 2009 (D, commonly cited)",~1.2M/mo est.,B,similarweb.com/website/petapixel.com,UNKNOWN,UNKNOWN,—,"Display ads, PetaPixel Memberships ($3/mo ad-free, 2024), sponsored content",Y,Y (D),N,N,Membership community (2024),Y (D),N,Y,Large (daily news + tutorials),Mixed (news + evergreen tutorials),Informational/news + buying (gear reviews),Y,Y (gear reviews),Y,Y (staff test gear),N,N,Medium,LOW-MEDIUM,UNKNOWN,"MEDIUM (traffic B-sourced; revenue unknown, monetization C-observed)",Display ads + memberships,Sponsored content,"MEDIUM: news cadence not applicable but ""best tool for X"" comparison format is"
Other Strong Niche,Nolo,nolo.com,Legal DIY,Consumer self-help law,REVENUE WINNER,US,"1971 (A, nolo.com/about/history)",UNKNOWN (no current number found),UNKNOWN,—,"UNKNOWN (part of Internet Brands, not broken out)",UNKNOWN,—,"Legal forms/software sales, lawyer directory referrals, display ads",Y,N/UNKNOWN,Y (legal forms/software),Y,N,Y (D),"N (legal directory lead-gen, adjacent)",Y (D),"Very large (legal encyclopedia, 1000s of articles)",Evergreen,Informational/transactional (forms),Y,N,Y (how-to legal guides),Y (lawyer-authored),Y (legal form templates — core product),"Y (legal calculators, e.g. some state tools)",High,MEDIUM (needs form/product purchase),UNKNOWN,"LOW-MEDIUM (strong on history, weak on current numbers)",Legal forms/software sales,Affiliate/lead-gen (lawyer directory),"MEDIUM: ""form/template as product"" model maps well to selling Excel templates"
Other Strong Niche,Scary Mommy,scarymommy.com,Parenting,Motherhood/humor-lifestyle,TRAFFIC WINNER,US,Founded 2008 as blog (D),~1.6M/mo (3-mo avg) est.,B,similarweb.com/website/scarymommy.com,"Parent Some Spider sold to BDG for $150M in stock (2021) — company-level, not site revenue","B (M&A price, not site revenue)",variety.com/2021/digital/news/bdg-some-spider-scary-mommy...,"Display/programmatic ads, sponsored content",Y,Y (D),N,N,N,Y (D),N,Y,"Large (1000s, multi-author)",Mixed (evergreen + trend/news),Informational/entertainment,Y,N,N (mostly essay/humor),Y (personal essays),N,N,Low-medium,LOW (ad-driven),UNKNOWN,"LOW-MEDIUM (traffic B-sourced; revenue is parent-company M&A price, not site-level)",Display advertising,Sponsored content,LOW: voice/entertainment model doesn't fit a niche B2B utility topic
Other Strong Niche,FluentU,fluentu.com,Language learning,Video-based language immersion (SaaS),REVENUE WINNER (SaaS),Global (10+ languages),"Founded 2011 (D, not directly confirmed)",UNKNOWN,UNKNOWN,—,UNKNOWN (private SaaS),UNKNOWN,—,Subscription SaaS (Plus/Super tiers),N,N,Y (app/platform itself),Y,N,Y (trial funnel),Y (core product is SaaS),N,Medium (video library + blog),Evergreen,Informational->transactional (trial signup),Y,Y (vs. competitors reviewed by 3rd parties),Y (language lessons),UNKNOWN,N,N,High,MEDIUM (needs trial-to-paid conversion),UNKNOWN,"LOW (pricing confirmed, traffic/revenue unconfirmed)",Subscription revenue,Affiliate (rare),HIGH: content-as-demo of a paid app is directly analogous to a SaaS-like template product
Other Strong Niche,Rennlist,rennlist.com,Automotive (Porsche),Porsche enthusiast forum/community,NICHE AUTHORITY,"Global, Porsche owners","1997 (A, rennlist.com/about-us)","200,000+ registered members (not monthly visits)",A (site's own about page),rennlist.com/forums/about-us/,"UNKNOWN (ad-sales based, no figure disclosed)",C (ad sales dept confirmed structurally),rennlist.com/forums/about-us/,"Display ads, classifieds marketplace, forum ad sales",Y,"Y (classifieds-adjacent, D)",N,N,Y (forum is the product),Y (D),N,Y,"Very large (forum threads, 20+ yrs)",Mixed (forum threads + evergreen guides),"Informational/community (troubleshooting, DIY)",Y,Y (parts/mods comparisons),Y (DIY repair threads),Y (member repair logs),N,N,Low-medium,"LOW-MEDIUM (ad-driven, some classifieds)",UNKNOWN,"MEDIUM (member count and founding A-sourced; revenue model C-observed, no figures)",Display advertising,Classifieds/sponsorship,LOW-MEDIUM: community/forum model needs volume CleanSheetHQ won't reach early
Other Strong Niche,Audio Issues,audio-issues.com,Music production/gear,Home-studio recording/mixing,NICHE AUTHORITY (micro),"Global, home-studio musicians",Founded ~2010 (D),UNKNOWN (small niche site),UNKNOWN,—,UNKNOWN,UNKNOWN,—,"Online courses (""Studio Success Starter Pack""), coaching/services, affiliate",N (membership model reduces reliance),Y,Y (courses),Y,Y,Y (D),N,Y (D),"Small-medium (solo operator, 100s of posts)",Evergreen,Informational/tutorial->transactional (courses),Y,Y (gear reviews),Y (core format),Y (Bjorgvin's own studio/production work),"Y (mixing checklists, D)",N,Medium-high,MEDIUM (needs course upsell),UNKNOWN,"LOW (small site, no hard numbers found; qualitative only)",Course sales,Affiliate/1:1 services,"HIGH: most comparable — solo operator, narrow tech niche, tutorials to paid course ladder"
Food/Recipe,Pinch of Yum,pinchofyum.com,General recipes,"Meal prep, ""few ingredients"" recipes",TRAFFIC + REVENUE WINNER (historically canonical case),"US-primary, global English",2010 (Lindsay Ostrom & Bjork Ostrom),"~1.2M visits/mo (3.6M/3mo, declining -4.5% MoM); historically ""4M pageviews/month"" in 2016 comments","A (self-reported historically) + B (current, Similarweb)",pinchofyum.com/income-report-august ; similarweb.com/website/pinchofyum.com,"Aug-2016: total income $59,448.98; net $37,924.69 after $21,524.29 expenses. AdThrive display $29,204.84 + AdThrive Video $5,973.04; sponsored $7,350; Bluehost affiliate $4,140; Amazon Associates $2,974.12; photography course $2,772.40. Series ended June 2017","A (historical, dated)",pinchofyum.com/income-report-august ; pinchofyum.com/what-we-learned-why-were-stopping,"Display (Mediavine/AdThrive-class), sponsored content, affiliate, digital courses (photography), email",Y,Y,N,"Y (photography course, historical)","Y (Tasty Food Photography, historical)",Y,N,"Y (historical, $7,350/mo in cited report)","Large (1,000+ recipes over 15 yrs)",Evergreen,Transactional (recipe/how-to),"Y (meal prep, weeknight speed)",N,Y,Y,N,N,Medium-High,"LOW (mostly ad-RPM, near-instant monetization on pageview)","A-grade: $21.97 first reported month (Sept 2011); grew to $1,000+/mo within ~1-2 years; reached ~$59K/mo gross by month ~60 (Aug 2016)","High (traffic B, revenue A but 8-9 yrs old)",Display ads (Mediavine/AdThrive-class network),Affiliate + historical digital course,Transparency-builds-trust tactic (income reports) is portable regardless of niche
Food/Recipe,Minimalist Baker,minimalistbaker.com,Vegan/vegetarian recipes,"Plant-based, 10-ingredient-or-less",TRAFFIC WINNER,"US 61%, Canada/UK/Aus",2011 (Dana Shultz),"~2.3M visits/3mo (~770K/mo), down 10% MoM, global rank ~28K",B,similarweb.com/website/minimalistbaker.com,UNKNOWN (no public figures),UNKNOWN,—,"Display ads, affiliate, YouTube ad revenue (channel exists per vidIQ/SocialBlade), cookbook",Y,Y,N,UNKNOWN,N,Y,N,UNKNOWN (likely Y),"Large (1,000+ recipes)",Evergreen,Transactional,Y (dietary restriction solutions),N,Y,Y,N,N,Medium,LOW,UNKNOWN,"Medium (traffic B, revenue UNKNOWN)",Display ads,Affiliate,Extreme topical specificity + minimalism in scope can still produce large scale
Food/Recipe,Budget Bytes,budgetbytes.com,Budget cooking,Per-serving cost-tracked recipes,NICHE AUTHORITY,"US 76%, Canada/UK/Aus",2009 (Beth Moncel),"~7.9M visits/3mo (~2.6M/mo), +3.6% MoM, global rank #7,921",B,similarweb.com/website/budgetbytes.com,"Founder quoted historically re: ""5 million pageviews... enough to quit two full-time jobs"" (undated)",D,medium.com/cucumbertown-magazine,"Display ads, affiliate (Amazon), cookbook",Y,Y,N,N,N,Y,N,UNKNOWN,"Large (1,700+ recipes, cost-per-serving format)",Evergreen,Transactional + budget/comparison,Y (grocery budget problem),N,Y,Y,N,N,Medium-High,LOW,UNKNOWN,"Medium (traffic B, revenue D)",Display ads,Affiliate,High: unique quantifiable cost-per-serving data hook matches commercial search intent
Food/Recipe,Sally's Baking Addiction,sallysbakingaddiction.com,Baking,"Baking/desserts, cookbooks",REVENUE WINNER,"US 66%, global",2011 (Sally McKenney),"~15.8M visits/3mo (~5.3M/mo), +2.7% MoM, #10 US Cooking category",B,similarweb.com/website/sallysbakingaddiction.com,"UNKNOWN exact $; team-scale operation (multiple staff, cookbook line, courses) inferred from site scale",D,"owler.com/company/sallysbakingaddiction (low confidence, excluded from evidence)","Display ads, affiliate, cookbooks, possible paid recipe app/community",Y,Y,Y (baking tool/scale merch referenced),UNKNOWN,UNKNOWN (possible),Y,N,UNKNOWN,"Very large (1,000+ recipes + team)",Evergreen,Transactional,Y (baking troubleshooting),N,Y (baking science explainers),Y,N,N,Medium-High,LOW-MEDIUM (ads + product funnel),UNKNOWN,"Medium (traffic B, revenue D/UNKNOWN)",Display ads + cookbook/product line,Affiliate,Diversify beyond display ads early (courses/templates) given smaller Excel audience
Food/Recipe,Cookie and Kate,cookieandkate.com,Vegetarian/healthy,Vegetarian whole-food,NICHE AUTHORITY,US-primary,2010 (Kathryne Taylor),"~4.8M visits/3mo (~1.6M/mo), -5% MoM",B,similarweb.com/website/cookieandkate.com,UNKNOWN,UNKNOWN,—,"Display ads, affiliate, cookbook",Y,Y,N,N,N,Y,N,UNKNOWN,"Medium (500+, curated)",Evergreen,Transactional,Y (vegetarian variety),N,Y,Y,N,N,Medium,LOW,UNKNOWN,"Medium (traffic B, revenue UNKNOWN)",Display ads,Affiliate,Quality/curation over volume can still build a defensible niche position
Food/Recipe,Half Baked Harvest,halfbakedharvest.com,Comfort food/indulgent,"Rustic/maximalist, shoppable recipes",FAST-GROWTH WINNER,"US 80%, Canada/UK/Aus",2012 (Tieghan Gerard),"~3.8M visits/3mo (~1.3M/mo), +5.6% MoM",B,similarweb.com/website/halfbakedharvest.com,"UNKNOWN exact $; confirmed structural deal: shoppable-recipe/e-commerce partnership with Target via Northfork widgets, described as a ""new revenue stream""",C,northfork.ai/blog/recipe-influencer-half-baked-harvest-innovates-with-revenue-streams-from-shoppable-recipes,"Display ads, affiliate, shoppable-recipe commerce (Target/Northfork), cookbooks (multiple, Clarkson Potter)",Y,Y,N,N,N,Y,N,"Y (likely, brand scale)","Large (1,000+)",Evergreen,Transactional,"N (aspirational, not problem-first)",N,Y,Y,N,N,Medium,LOW-MEDIUM (ads + commerce funnel),UNKNOWN,"Medium (traffic B, revenue C partial)",Display ads + emerging shoppable-commerce/brand deals,Affiliate + cookbook deals,Turning content into a transactional add-on (paid templates) transfers well
Food/Recipe,Damn Delicious,damndelicious.net,Quick weeknight Asian-inspired,"Asian-American fusion, one-pan","FAST-GROWTH WINNER (early), now stable","US 81%, Canada/UK",2011 (Chungah Rhee),"~2.1M visits/3mo (~700K/mo), +4.2% MoM",B,similarweb.com/website/damndelicious.net,"UNKNOWN (two published cookbooks via Hachette imply meaningful advance income, D)",D,hachettebookgroup.com/contributor/chungah-rhee,"Display ads, affiliate, 2 published cookbooks (Hachette)",Y,Y,N,N,N,Y,N,UNKNOWN,Medium-large,Evergreen,Transactional,Y (speed/ease),N,Y,Y,N,N,Medium,LOW-MEDIUM (ads + book funnel),UNKNOWN,"Medium (traffic B, revenue D)",Display ads + cookbook advances,Affiliate,SEO-domain-authority compounding lesson: early consistent publishing compounds ranking
Food/Recipe,Gimme Some Oven,gimmesomeoven.com,General home cooking,"Weeknight dinners, cocktails",NICHE AUTHORITY (declining/plateaued),US-primary,2009 (Ali Ebright),"~3.4M visits/3mo (~1.1M/mo), -5% MoM",B,similarweb.com/website/gimmesomeoven.com,UNKNOWN,UNKNOWN,—,"Display ads, affiliate",Y,Y,N,N,N,Y,N,UNKNOWN,"Large (legacy archive, low new output recently)",Evergreen,Transactional,Y (weeknight ease),N,Y,Y,N,N,Medium,LOW,UNKNOWN,"Medium (traffic B, revenue UNKNOWN)",Display ads,Affiliate,Cautionary: organic value decays without continued publishing cadence
Food/Recipe,Smitten Kitchen,smittenkitchen.com,Home cooking (elevated/literary),NYC apartment-kitchen classics,"NICHE AUTHORITY (low-monetization, brand-strength case)",US 84%,2006 (Deb Perelman),"~2.7M visits/3mo (~900K/mo), stable",B,similarweb.com/website/smittenkitchen.com,UNKNOWN (Deb Perelman has spoken publicly about deliberately limiting ads),C/D,"smittenkitchen.com (public statements on ad restraint, not independently re-verified)","Minimal display ads by choice, affiliate (cookware links), 2 bestselling cookbooks","Y (minimal, by choice)",Y,N,N,N,Y,N,Rare/limited by policy,"Small-medium (deliberately unhurried, ~20 yrs but lower volume/yr)",Evergreen,Transactional,N (voice/story-led),N,Y,Y,N,N,Low-Medium,"MEDIUM-HIGH (revenue tied to book sales/brand, not raw traffic)",UNKNOWN,"Medium (traffic B, revenue C/D self-stated)",Cookbook sales (given intentionally light ads),Affiliate (minimal),Proves a site doesn't have to maximize ad density if paid tools are the real engine
Food/Recipe,Once Upon a Chef,onceuponachef.com,Family-tested American home cooking,Tested-and-perfected family recipes,REVENUE WINNER,US-primary,2009 (Jenn Segal),"~3.6M visits/3mo (~1.2M/mo), +3.8% MoM",B,similarweb.com/website/onceuponachef.com,"UNKNOWN (2 bestselling cookbooks, Google Ads Publisher case study exists but revenue not disclosed)",C,google.com/ads/publisher/stories/once_upon_chef,"Display ads, affiliate, 2 cookbooks, email newsletter",Y,Y,N,N,N,Y,N,UNKNOWN,"Medium-large (curated, ""tested & perfected"")",Evergreen,Transactional,"Y (reliability/""tested"" promise)",N,Y,Y,N,N,Medium,LOW-MEDIUM,UNKNOWN,"Medium (traffic B, revenue C partial via Google case study)",Display ads + cookbook,Affiliate + newsletter-driven engagement,"Strong: ""tested and perfected"" trust rigor is analogous to proving a tool actually works"
Travel,Nomadic Matt,nomadicmatt.com,Budget/backpacker travel advice,"Money-saving guides, courses",TRAFFIC/REVENUE WINNER (legacy),"US-dominant, global",2008,"~91K visits/mo (Similarweb, 2026); historically ""1M+/mo"" self-claimed (2017)","B (Similarweb) + A (self, historical, now stale)",similarweb.com/website/nomadicmatt.com/ ; noahkagan.com/how-to-make-money-blogging-travel-blog-nomadic-matt/,2010: $50-60K; 2013: six figures; ~2017: ~$750K/yr (60% from ebooks/products),A (CNBC interview citing his own figures),cnbc.com/2017/07/07/how-nomadic-matt-quit-his-job-to-travel-the-world.html,"Ebooks/guides, courses (""travel media school""), affiliate, hostel co-ownership, sponsored posts",Y,Y,Y (ebooks/guides),Y,Y (Superstar Blogging/Travel Media School),Y,N,Y,Hundreds of guides + destination hub pages,Evergreen-heavy,Informational + transactional (booking),Y,"Y (gear, cards indirectly)",Y,Y,Y (packing lists/guides as paid products),N confirmed,Medium-High,MEDIUM (needs product/course purchase),~3 yrs to six figures per Matt's own account (2010->2013),Medium (historical A figures now stale; current traffic B),Own products/courses (ebooks),Affiliate,HIGH — content-to-owned-info-product model directly portable to templates/tool sales
Travel,The Points Guy,thepointsguy.com,Points/miles & credit-card travel,"Card reviews, airline/hotel loyalty",REVENUE WINNER,US-dominant,2010,Not disclosed publicly; among largest travel-affiliate sites (millions/mo),D,—,Sold as part of Bankrate/Red Ventures $1.24B deal (2017); TPG-specific split not disclosed,"D (deal-level, not site-level)",en.wikipedia.org/wiki/The_Points_Guy,"Credit-card affiliate (primary), display ads, sponsored content",Y,Y (core),N,N,N,Y,N,Y,Thousands (news + evergreen hybrid),"Mixed (news-heavy: deals, alerts)",Transactional (card sign-ups),Y,Y (core: card comparisons),Y,Y (staff trip reports),N,N,Very High,LOW (card click = commission),UNKNOWN exact TPG timeline,"Low-Medium (deal-level A, site-level D)",Credit-card affiliate,Display ads,LOW direct fit; affiliate-monetization discipline and zero-click SERP risk pattern transfer
Travel,The Blonde Abroad,theblondeabroad.com,Female luxury/lifestyle travel,"Women's tours, fashion+travel",REVENUE WINNER,US female 25-40,~2010,Not disclosed; 1M+ combined social followers,D,—,"$1M+ (self-described ""million dollar"" business, 2019)",B (Forbes profile),forbes.com/sites/alexandratalty/2019/10/16/how-the-blonde-abroad-built-a-million-dollar-travel-empire/,"Group tours (TBA Escapes), digital agency, merch shop, affiliate, sponsorships",N (not primary),Y,"Y (tours, merch)",N,N,Y,N,Y,Hundreds,Evergreen,Informational + booking (tours),Y,Y (tour comparisons),Y,Y,N,N,Medium-High,MEDIUM (needs tour booking),"~9 yrs to ""$1M"" story (2010->2019)",Low-Medium (single Forbes profile),Owned group tours,Affiliate/merch,MEDIUM — owned-product (tours->templates) logic transfers; low ad reliance instructive
Travel,Two Monkeys Travel Group,twomonkeystravelgroup.com,Budget/nomad travel (Filipino audience),Digital nomad/OFW resources,FAST-GROWTH WINNER,Filipino/global nomads,Oct 2014,Not disclosed,UNKNOWN,—,2015: ~$30K/yr; 2020: five-figure/month (EUR),"A (Professional Hobo case-study interview, founder-provided)",theprofessionalhobo.com/financial-case-study-jon-and-kach-bloggers-english-teachers-yogamassage/,"Sponsored posts, affiliate, freelance writing, consulting/immigration services",Y,Y,Y (consulting),N,N,Y,N,Y,Hundreds (multi-site network),Evergreen,Informational,Y,Y,Y,Y,N,N,Medium,MEDIUM,~1 yr to $30K/yr (2014->2015); ~6 yrs to 5-figure/mo (2020),Medium (founder-provided case study),Consulting/services + affiliate,Affiliate,MEDIUM — service-upsell-from-content model transfers to consulting upsell
Travel,Travel Lemming,travellemming.com,General destination guides (SEO),"""Best of"" listicles, city guides",FAST-GROWTH WINNER,US/global,Apr 2017,"""Hundreds of thousands"" visits/past year (2021 interview)",A (founder interview),nomadflag.com/nate-hake-interview/,"Not disclosed (""not going to make me rich"" per founder, updated: ""more than I thought"")","A (founder interview, qualitative)",nomadflag.com/nate-hake-interview/,"Affiliate (booking links), display ads (implied), email",Y (likely),Y,N,N,N,Y,N,UNKNOWN,"1,500+ guides (stated)",Evergreen (SEO listicles),Informational (best-of lists),Y,Y (best-of lists),Y,Y (creator network),N,N,Medium,MEDIUM (needs affiliate click-through),"~4 yrs to ""hundreds of thousands"" visits (2017->2021)","Medium (founder interview, qualitative)",Affiliate (booking commissions),Display ads,HIGH — scaled SEO listicle production process is directly reusable for comparison pages
